         253153657 function calls (246262193 primitive calls) in 169.157 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      246    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
    313/3    0.001    0.000    0.547    0.182 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
     1689    0.001    0.000    0.031    0.000 artist.py:1350(is_alias)
        2    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
       12    0.001    0.000    0.025    0.002 artist.py:1250(get_aliases)
      173    0.001    0.000    0.053    0.000 sre_compile.py:759(compile)
     3083    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
   260/11    0.001    0.000    0.005    0.000 pyparsing.py:1647(_parseNoCache)
      499    0.001    0.000    0.003    0.000 random.py:200(randrange)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
     5871    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      708    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
      499    0.001    0.000    0.002    0.000 random.py:250(_randbelow_with_getrandbits)
     3967    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1657    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    246/4    0.001    0.000    0.546    0.136 <frozen importlib._bootstrap_external>:777(exec_module)
      291    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
       31    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
     6161    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      173    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
     2499    0.001    0.000    0.001    0.000 inspect.py:2809(<genexpr>)
      316    0.001    0.000    0.028    0.000 overrides.py:166(decorator)
       11    0.001    0.000    0.071    0.006 artist.py:1380(pprint_setters)
     1457    0.001    0.000    0.005    0.000 re.py:188(match)
     2544    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
       12    0.001    0.000    0.003    0.000 enum.py:134(__new__)
      140    0.001    0.000    0.006    0.000 deprecation.py:172(deprecate)
     2499    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
  389/288    0.001    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2268    0.001    0.000    0.001    0.000 enum.py:562(__new__)
       12    0.001    0.000    0.002    0.000 artist.py:1261(<listcomp>)
     1222    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       72    0.001    0.000    0.011    0.000 __init__.py:1488(_preprocess_data)
     1260    0.001    0.000    0.001    0.000 colors.py:277(<genexpr>)
   345/78    0.001    0.000    0.353    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      410    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
       32    0.001    0.000    0.010    0.000 colors.py:782(from_list)
     1918    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      173    0.001    0.000    0.033    0.000 sre_parse.py:937(parse)
     1170    0.001    0.000    0.003    0.000 colors.py:123(_is_nth_color)
      246    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     2061    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     4092    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      453    0.001    0.000    0.007    0.000 rcsetup.py:327(validate_color)
      412    0.001    0.000    0.002    0.000 artist.py:1357(aliased_name)
      616    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
        1    0.001    0.001    0.001    0.001 legend_handler.py:43(HandlerBase)
     1312    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
       15    0.001    0.000    0.004    0.000 {built-in method builtins.eval}
      943    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      438    0.001    0.000    0.002    0.000 font_manager.py:889(_json_decode)
  296/294    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      410    0.001    0.000    0.006    0.000 pyparsing.py:1423(copy)
   357/17    0.001    0.000    0.419    0.025 {built-in method builtins.__import__}
      738    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      291    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      639    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       31    0.001    0.000    0.018    0.001 _collections_abc.py:824(update)
     1637    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      402    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      291    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      173    0.001    0.000    0.001    0.000 enum.py:833(__and__)
      320    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      188    0.001    0.000    0.001    0.000 colors.py:845(<listcomp>)
       83    0.001    0.000    0.001    0.000 pyparsing.py:3870(__init__)
      320    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      537    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:376(cached)
      652    0.001    0.000    0.025    0.000 inspect.py:3091(signature)
      492    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      602    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      668    0.001    0.000    0.001    0.000 functools.py:64(wraps)
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
      249    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      326    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      274    0.001    0.000    0.003    0.000 function_base.py:451(add_newdoc)
      246    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      458    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       87    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
     3008    0.000    0.000    0.000    0.000 inspect.py:2527(name)
      652    0.000    0.000    0.025    0.000 inspect.py:2839(from_callable)
       24    0.000    0.000    0.004    0.000 traceback.py:321(extract)
      499    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1880    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      225    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      506    0.000    0.000    0.022    0.000 re.py:198(search)
     1880    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      317    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      173    0.000    0.000    0.018    0.000 sre_compile.py:598(_code)
       67    0.000    0.000    0.002    0.000 pyparsing.py:4011(__init__)
      917    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
      128    0.000    0.000    0.001    0.000 enum.py:65(__setitem__)
      451    0.000    0.000    0.006    0.000 colors.py:128(is_color_like)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      895    0.000    0.000    0.000    0.000 rcsetup.py:192(validator)
      303    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
      547    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      246    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      917    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
        7    0.000    0.000    0.001    0.000 enum.py:456(<listcomp>)
  196/166    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
     2087    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      453    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
