doing trials...
[1000D[####################                    ]         210185116 function calls (210176890 primitive calls) in 170.397 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 subprocess.py:448(run)
       38    0.000    0.000    0.000    0.000 colors.py:879(__init__)
      252    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
       24    0.000    0.000    0.003    0.000 traceback.py:200(extract_stack)
      172    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.002    0.002 subprocess.py:1550(_execute_child)
       91    0.000    0.000    0.000    0.000 inspect.py:534(_findclass)
      368    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       52    0.000    0.000    0.001    0.000 typing.py:659(__init__)
      144    0.000    0.000    0.007    0.000 rcsetup.py:72(f)
      164    0.000    0.000    0.000    0.000 colors.py:506(__init__)
    63/22    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.002    0.002 subprocess.py:732(__init__)
      183    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       27    0.000    0.000    0.001    0.000 pathlib.py:528(_select_from)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4442(__init__)
      130    0.000    0.000    0.001    0.000 pyplot.py:1701(<genexpr>)
      229    0.000    0.000    0.001    0.000 heap.py:36(bigPeek)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
      366    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       32    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
      153    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       63    0.000    0.000    0.001    0.000 colors.py:843(<dictcomp>)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      536    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
